id	age	gender	nationality	familiarity	personalityResponses	preSurveyResponses	timeSpent	fightCnt	punchCnt	avgSpeed	totalDist	collectedItemCnt	totalItemCnt	crowdPersonality	postSurveyResponses
AI1E5RWHMHHJR	26	 Male 	 White 	1	 [5,4,3,1,2,3,3,3,2,3]	 [-2,-2,-2,-2,-3,-2,3,3,2,-1,-1,-2,-2,-3,1,-2,2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AJ7JCUXKR2PZT	0	 Male 	 White 	NULL	 [0,0,0,0,0,0,0,0,0,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AJUVX0E4OPTAO	51	 Female 	 White 	0	 [4,3,4,5,5,3,4,5,6,5]	 [-2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-2,-1,-1,-1,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AKXR04HMZTOBO	0	 Male 	 White 	0	 [4,5,4,3,4,5,6,4,3,5]	 [-1,1,1,-1,-1,1,2,1,0,-1,1,2,-2,1,1,-2,2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AMBZATQDG38V0	37	 Female 	 White 	1	 [6,0,5,1,6,0,6,0,4,1]	 [0,0,0,0,0,0,2,3,1,-1,-2,-2,2,1,-3,-1,-2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ANFUR3C2B0E9I	26	 Female 	 White 	0	 [4,3,3,1,5,3,6,0,5,4]	 [0,-3,-3,-3,-3,-2,-2,-3,-2,-3,-2,3,2,-3,-3,2,-3]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AOS2PVHT2HYTL	68	 Female 	 White 	NULL	 [6,0,6,0,6,4,6,0,6,0]	 [0,0,-3,-3,-3,-3,-3,-2,0,0,-3,-3,0,-1,0,0,0]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AP21O70VXNX10	0	 Male 	 White 	2	 [5,4,5,5,5,4,5,4,5,6]	 [0,0,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AP7J9TDQAHP46	23	 Female 	 Hispanic / Latinx 	0	 [3,3,4,4,4,3,3,4,4,4]	 [1,1,-1,-1,1,1,-1,1,0,-1,1,1,-1,1,1,-1,1]	66.2562	2	31	0.850495	56.3701	1	13	0	 [-1,-1,-1,-1,-1,-3,-2,2,2,2,1,3,-2,-1,-2,-2,-1]
APPXCBMC3TMN2	26	 Male 	 White 	NULL	 [3,4,4,3,3,4,3,4,3,3]	 [0,1,-1,-1,-1,-2,-1,1,-1,1,1,2,1,-1,1,1,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AQNCH42WD4ITI	32	 Male 	 Asian 	NULL	 [1,1,5,4,3,4,1,3,4,4]	 [0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0]	39.7267	0	0	0.972675	38.9652	5	1	0	 [0,3,0,0,0,1,-1,-1,-1,0,0,-1,0,0,0,0,0]
ATD29EJ2RKBYS	0	 Male 	 White 	2	 [0,0,0,0,0,5,6,6,6,5]	 [0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AUIGW2YS0Z7HO	35	 Male 	 White 	0	 [4,3,4,2,4,4,3,2,2,3]	 [-3,-3,-3,-3,-2,-2,0,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AVBLGA5TBYO0D	39	 Male 	 White 	NULL	 [6,5,5,5,6,4,4,4,6,6]	 [1,1,2,1,2,1,-1,1,-1,1,-1,1,1,-1,-1,1,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AVIEE6LDH0BT5	20	 Male 	 White 	NULL	 [0,0,5,1,3,6,4,1,3,2]	 [2,0,0,-2,-2,-2,0,-2,0,-3,-1,-3,0,0,-2,-2,2]	45.1782	0	0	1.03985	47.0009	2	0	0	 [-3,-3,-3,-3,-3,-3,-2,-3,-2,1,-3,-2,2,2,2,2,2]
AWB3V5F6091HO	24	 Female 	 White 	1	 [4,1,5,1,4,5,4,0,4,1]	 [-2,-2,-3,-3,-2,-3,-1,-2,-2,-2,-3,-2,-3,-2,-2,-3,-2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AWZ4V9KQZ19BB	55	 Male 	 Other 	3	 [1,4,4,4,4,5,5,2,4,1]	 [-1,-1,-1,-2,-3,2,1,3,1,1,-3,3,0,1,-1,1,1]	317.051	6	1350	0.544297	172.571	0	8	0	 [1,1,1,1,1,-1,-2,-2,-1,-1,-3,-2,-1,1,-1,-2,-1]
AXGNAVU5HHLUY	35	 Female 	 Black 	3	 [4,5,5,5,4,4,3,4,4,4]	 [-3,-3,-3,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-3,-2,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AXQYQGQEQZ2Y7	0	 Male 	 White 	0	 [4,4,4,4,4,4,5,5,4,5]	 [-2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AY5ICL40E5795	25	 Male 	 White 	3	 [2,4,5,5,4,3,3,2,3,4]	 [1,1,1,-1,0,-1,2,3,1,1,-2,0,-1,-1,0,-2,-2]	60.8931	2	28	1.59655	97.2609	4	2	0	 [1,2,0,0,1,0,0,0,0,0,-2,0,-1,-1,0,-2,-2]
AYM5NR2ZEGLEZ	43	 Male 	 White 	0	 [4,4,5,6,5,6,4,5,6,4]	 [-2,-1,-2,-1,1,-1,-2,-1,1,1,-1,-1,1,-2,-1,1,-2]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
AZ22G29UQV82E	35	 Female 	 Asian 	1	 [0,0,0,0,0,5,4,5,6,5]	 [-2,-1,-2,-1,1,0,-2,1,-1,1,-2,-1,1,2,1,-2,1]	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
